sample1	sample2	fract_vit_sites_IBD
SRR1568118	ERR2299684	0.04
SRR1568118	ERR2299685	0.02
SRR1568128	SRR1568155	0.05
SRR1568128	SRR1568160	0.04
SRR1568128	SRR1568169	0.04
SRR1568128	SRR1568171	0.04
SRR1568128	SRR1568207	0.05
SRR1568128	SRR1568213	0.06
SRR1568128	SRR1568221	0.04
SRR1568128	SRR1568227	0.05
SRR1568128	SRR1568230	0.03
SRR1568128	SRR1568235	0.04
SRR1568128	SRR1568236	0.01
SRR1568128	SRR1573226	0.05
SRR1568128	ERR2299557	0.05
SRR1568128	ERR2299558	0.05
SRR1568128	ERR2299582	0.04
SRR1568128	ERR2299586	0.05
SRR1568128	ERR2299596	0.03
SRR1568128	ERR2299666	0.02
SRR1568128	ERR2299667	0.02
SRR1568128	ERR2299668	0.02
SRR1568128	ERR2299669	0.03
SRR1568128	ERR2299670	0.03
SRR1568128	ERR2299699	0.02
SRR1568128	ERR2299672	0.02
SRR1568128	ERR2299673	0.02
SRR1568128	ERR2299674	0.02
SRR1568128	ERR2299675	0.02
SRR1568128	ERR2299704	0.02
SRR1568128	ERR2299679	0.03
SRR1568128	ERR2299680	0.04
SRR1568128	ERR2299681	0.02
SRR1568128	ERR2299682	0.02
SRR1568128	ERR2299683	0.02
SRR1568128	ERR2299684	0.03
SRR1568128	ERR2299685	0.03
SRR1568155	SRR1568160	0.06
SRR1568155	SRR1568169	0.07
SRR1568155	SRR1568171	0.04
SRR1568155	SRR1568207	0.07
SRR1568155	SRR1568213	0.13
SRR1568155	SRR1568221	0.02
SRR1568155	SRR1568227	1.00
SRR1568155	SRR1568230	0.07
SRR1568155	SRR1568235	0.03
SRR1568155	SRR1568236	0.00
SRR1568155	SRR1573226	0.04
SRR1568155	ERR2299557	0.02
SRR1568155	ERR2299558	0.02
SRR1568155	ERR2299582	0.04
SRR1568155	ERR2299586	0.03
SRR1568155	ERR2299596	0.05
SRR1568155	ERR2299666	0.02
SRR1568155	ERR2299667	0.03
SRR1568155	ERR2299668	0.03
SRR1568155	ERR2299669	0.03
SRR1568155	ERR2299670	0.07
SRR1568155	ERR2299699	0.03
SRR1568155	ERR2299672	0.03
SRR1568155	ERR2299673	0.03
SRR1568155	ERR2299674	0.03
SRR1568155	ERR2299675	0.07
SRR1568155	ERR2299704	0.03
SRR1568155	ERR2299679	0.04
SRR1568155	ERR2299680	0.05
SRR1568155	ERR2299681	0.03
SRR1568155	ERR2299682	0.03
SRR1568155	ERR2299683	0.03
SRR1568155	ERR2299684	0.04
SRR1568155	ERR2299685	0.02
SRR1568160	SRR1568169	0.23
SRR1568160	SRR1568171	0.10
SRR1568160	SRR1568207	0.07
SRR1568160	SRR1568213	0.10
SRR1568160	SRR1568221	0.03
SRR1568160	SRR1568227	0.06
SRR1568160	SRR1568230	0.06
SRR1568160	SRR1568235	0.03
SRR1568160	SRR1568236	0.01
SRR1568160	SRR1573226	0.03
SRR1568160	ERR2299557	0.03
SRR1568160	ERR2299558	0.03
SRR1568160	ERR2299582	0.03
SRR1568160	ERR2299586	0.02
SRR1568160	ERR2299596	0.03
SRR1568160	ERR2299666	0.01
SRR1568160	ERR2299667	0.01
SRR1568160	ERR2299668	0.02
SRR1568160	ERR2299669	0.04
SRR1568160	ERR2299670	0.05
SRR1568160	ERR2299699	0.02
SRR1568160	ERR2299672	0.02
SRR1568160	ERR2299673	0.01
SRR1568160	ERR2299674	0.02
SRR1568160	ERR2299675	0.05
SRR1568160	ERR2299704	0.01
SRR1568160	ERR2299679	0.05
SRR1568160	ERR2299680	0.04
SRR1568160	ERR2299681	0.01
SRR1568160	ERR2299682	0.02
SRR1568160	ERR2299683	0.02
SRR1568160	ERR2299684	0.05
SRR1568160	ERR2299685	0.02
SRR1568169	SRR1568171	0.09
SRR1568169	SRR1568207	0.03
SRR1568169	SRR1568213	0.04
SRR1568169	SRR1568221	0.02
SRR1568169	SRR1568227	0.07
SRR1568169	SRR1568230	0.04
SRR1568169	SRR1568235	0.03
SRR1568169	SRR1568236	0.01
SRR1568169	SRR1573226	0.03
SRR1568169	ERR2299557	0.02
SRR1568169	ERR2299558	0.02
SRR1568169	ERR2299582	0.03
SRR1568169	ERR2299586	0.02
SRR1568169	ERR2299596	0.07
SRR1568169	ERR2299666	0.02
SRR1568169	ERR2299667	0.03
SRR1568169	ERR2299668	0.04
SRR1568169	ERR2299669	0.05
SRR1568169	ERR2299670	0.04
SRR1568169	ERR2299699	0.04
SRR1568169	ERR2299672	0.03
SRR1568169	ERR2299673	0.03
SRR1568169	ERR2299674	0.03
SRR1568169	ERR2299675	0.04
SRR1568169	ERR2299704	0.04
SRR1568169	ERR2299679	0.06
SRR1568169	ERR2299680	0.05
SRR1568169	ERR2299681	0.03
SRR1568169	ERR2299682	0.04
SRR1568169	ERR2299683	0.04
SRR1568169	ERR2299684	0.06
SRR1568169	ERR2299685	0.01
SRR1568171	SRR1568207	0.03
SRR1568171	SRR1568213	0.03
SRR1568171	SRR1568221	0.03
SRR1568171	SRR1568227	0.04
SRR1568171	SRR1568230	0.02
SRR1568171	SRR1568235	0.04
SRR1568171	SRR1568236	0.01
SRR1568171	SRR1573226	0.05
SRR1568171	ERR2299557	0.04
SRR1568171	ERR2299558	0.04
SRR1568171	ERR2299582	0.05
SRR1568171	ERR2299586	0.05
SRR1568171	ERR2299596	0.03
SRR1568171	ERR2299666	0.00
SRR1568171	ERR2299667	0.01
SRR1568171	ERR2299668	0.01
SRR1568171	ERR2299669	0.01
SRR1568171	ERR2299670	0.02
SRR1568171	ERR2299699	0.01
SRR1568171	ERR2299672	0.01
SRR1568171	ERR2299673	0.01
SRR1568171	ERR2299674	0.01
SRR1568171	ERR2299675	0.02
SRR1568171	ERR2299704	0.01
SRR1568171	ERR2299679	0.07
SRR1568171	ERR2299680	0.06
SRR1568171	ERR2299681	0.01
SRR1568171	ERR2299682	0.01
SRR1568171	ERR2299683	0.01
SRR1568171	ERR2299684	0.07
SRR1568171	ERR2299685	0.02
SRR1568207	SRR1568213	0.10
SRR1568207	SRR1568221	0.03
SRR1568207	SRR1568227	0.07
SRR1568207	SRR1568230	0.03
SRR1568207	SRR1568235	0.04
SRR1568207	SRR1568236	0.00
SRR1568207	SRR1573226	0.05
SRR1568207	ERR2299557	0.03
SRR1568207	ERR2299558	0.03
SRR1568207	ERR2299582	0.04
SRR1568207	ERR2299586	0.02
SRR1568207	ERR2299596	0.06
SRR1568207	ERR2299666	0.03
SRR1568207	ERR2299667	0.03
SRR1568207	ERR2299668	0.02
SRR1568207	ERR2299669	0.02
SRR1568207	ERR2299670	0.03
SRR1568207	ERR2299699	0.03
SRR1568207	ERR2299672	0.02
SRR1568207	ERR2299673	0.03
SRR1568207	ERR2299674	0.03
SRR1568207	ERR2299675	0.03
SRR1568207	ERR2299704	0.02
SRR1568207	ERR2299679	0.05
SRR1568207	ERR2299680	0.02
SRR1568207	ERR2299681	0.03
SRR1568207	ERR2299682	0.02
SRR1568207	ERR2299683	0.02
SRR1568207	ERR2299684	0.05
SRR1568207	ERR2299685	0.02
SRR1568213	SRR1568221	0.04
SRR1568213	SRR1568227	0.13
SRR1568213	SRR1568230	0.04
SRR1568213	SRR1568235	0.05
SRR1568213	SRR1568236	0.01
SRR1568213	SRR1573226	0.02
SRR1568213	ERR2299557	0.04
SRR1568213	ERR2299558	0.04
SRR1568213	ERR2299582	0.04
SRR1568213	ERR2299586	0.02
SRR1568213	ERR2299596	0.03
SRR1568213	ERR2299666	0.03
SRR1568213	ERR2299667	0.04
SRR1568213	ERR2299668	0.03
SRR1568213	ERR2299669	0.03
SRR1568213	ERR2299670	0.04
SRR1568213	ERR2299699	0.04
SRR1568213	ERR2299672	0.03
SRR1568213	ERR2299673	0.04
SRR1568213	ERR2299674	0.04
SRR1568213	ERR2299675	0.04
SRR1568213	ERR2299704	0.03
SRR1568213	ERR2299679	0.05
SRR1568213	ERR2299680	0.04
SRR1568213	ERR2299681	0.04
SRR1568213	ERR2299682	0.03
SRR1568213	ERR2299683	0.03
SRR1568213	ERR2299684	0.05
SRR1568213	ERR2299685	0.03
SRR1568221	SRR1568227	0.03
SRR1568221	SRR1568230	0.02
SRR1568221	SRR1568235	0.37
SRR1568221	SRR1568236	0.01
SRR1568221	SRR1573226	0.23
SRR1568221	ERR2299557	0.05
SRR1568221	ERR2299558	0.05
SRR1568221	ERR2299582	0.05
SRR1568221	ERR2299586	0.02
SRR1568221	ERR2299596	0.04
SRR1568221	ERR2299666	0.00
SRR1568221	ERR2299667	0.00
SRR1568221	ERR2299668	0.00
SRR1568221	ERR2299669	0.01
SRR1568221	ERR2299670	0.02
SRR1568221	ERR2299699	0.00
SRR1568221	ERR2299672	0.00
SRR1568221	ERR2299673	0.00
SRR1568221	ERR2299674	0.00
SRR1568221	ERR2299675	0.02
SRR1568221	ERR2299704	0.00
SRR1568221	ERR2299679	0.04
SRR1568221	ERR2299680	0.03
SRR1568221	ERR2299681	0.00
SRR1568221	ERR2299682	0.00
SRR1568221	ERR2299683	0.00
SRR1568221	ERR2299684	0.04
SRR1568221	ERR2299685	0.02
SRR1568227	SRR1568230	0.07
SRR1568227	SRR1568235	0.03
SRR1568227	SRR1568236	0.00
SRR1568227	SRR1573226	0.04
SRR1568227	ERR2299557	0.02
SRR1568227	ERR2299558	0.02
SRR1568227	ERR2299582	0.04
SRR1568227	ERR2299586	0.03
SRR1568227	ERR2299596	0.05
SRR1568227	ERR2299666	0.02
SRR1568227	ERR2299667	0.03
SRR1568227	ERR2299668	0.03
SRR1568227	ERR2299669	0.03
SRR1568227	ERR2299670	0.07
SRR1568227	ERR2299699	0.03
SRR1568227	ERR2299672	0.03
SRR1568227	ERR2299673	0.03
SRR1568227	ERR2299674	0.03
SRR1568227	ERR2299675	0.07
SRR1568227	ERR2299704	0.03
SRR1568227	ERR2299679	0.04
SRR1568227	ERR2299680	0.05
SRR1568227	ERR2299681	0.03
SRR1568227	ERR2299682	0.03
SRR1568227	ERR2299683	0.03
SRR1568227	ERR2299684	0.04
SRR1568227	ERR2299685	0.03
SRR1568230	SRR1568235	0.03
SRR1568230	SRR1568236	0.01
SRR1568230	SRR1573226	0.03
SRR1568230	ERR2299557	0.01
SRR1568230	ERR2299558	0.01
SRR1568230	ERR2299582	0.02
SRR1568230	ERR2299586	0.03
SRR1568230	ERR2299596	0.06
SRR1568230	ERR2299666	0.02
SRR1568230	ERR2299667	0.03
SRR1568230	ERR2299668	0.04
SRR1568230	ERR2299669	0.04
SRR1568230	ERR2299670	1.00
SRR1568230	ERR2299699	0.03
SRR1568230	ERR2299672	0.04
SRR1568230	ERR2299673	0.03
SRR1568230	ERR2299674	0.03
SRR1568230	ERR2299675	1.00
SRR1568230	ERR2299704	0.04
SRR1568230	ERR2299679	0.03
SRR1568230	ERR2299680	0.05
SRR1568230	ERR2299681	0.03
SRR1568230	ERR2299682	0.04
SRR1568230	ERR2299683	0.04
SRR1568230	ERR2299684	0.03
SRR1568230	ERR2299685	0.02
SRR1568235	SRR1568236	0.01
SRR1568235	SRR1573226	0.10
SRR1568235	ERR2299557	0.04
SRR1568235	ERR2299558	0.04
SRR1568235	ERR2299582	0.15
SRR1568235	ERR2299586	0.05
SRR1568235	ERR2299596	0.05
SRR1568235	ERR2299666	0.01
SRR1568235	ERR2299667	0.01
SRR1568235	ERR2299668	0.01
SRR1568235	ERR2299669	0.01
SRR1568235	ERR2299670	0.03
SRR1568235	ERR2299699	0.01
SRR1568235	ERR2299672	0.01
SRR1568235	ERR2299673	0.01
SRR1568235	ERR2299674	0.01
SRR1568235	ERR2299675	0.03
SRR1568235	ERR2299704	0.01
SRR1568235	ERR2299679	0.04
SRR1568235	ERR2299680	0.04
SRR1568235	ERR2299681	0.01
SRR1568235	ERR2299682	0.01
SRR1568235	ERR2299683	0.01
SRR1568235	ERR2299684	0.04
SRR1568235	ERR2299685	0.11
SRR1568236	SRR1573226	0.01
SRR1568236	ERR2299557	0.01
SRR1568236	ERR2299558	0.01
SRR1568236	ERR2299582	0.01
SRR1568236	ERR2299586	0.01
SRR1568236	ERR2299596	0.01
SRR1568236	ERR2299666	0.00
SRR1568236	ERR2299667	0.00
SRR1568236	ERR2299668	0.00
SRR1568236	ERR2299669	0.00
SRR1568236	ERR2299670	0.01
SRR1568236	ERR2299699	0.00
SRR1568236	ERR2299672	0.00
SRR1568236	ERR2299673	0.00
SRR1568236	ERR2299674	0.00
SRR1568236	ERR2299675	0.01
SRR1568236	ERR2299704	0.00
SRR1568236	ERR2299679	0.01
SRR1568236	ERR2299680	0.01
SRR1568236	ERR2299681	0.00
SRR1568236	ERR2299682	0.00
SRR1568236	ERR2299683	0.00
SRR1568236	ERR2299684	0.01
SRR1568236	ERR2299685	0.01
SRR1573226	ERR2299557	0.04
SRR1573226	ERR2299558	0.04
SRR1573226	ERR2299582	0.04
SRR1573226	ERR2299586	0.03
SRR1573226	ERR2299596	0.05
SRR1573226	ERR2299666	0.01
SRR1573226	ERR2299667	0.01
SRR1573226	ERR2299668	0.02
SRR1573226	ERR2299669	0.02
SRR1573226	ERR2299670	0.03
SRR1573226	ERR2299699	0.02
SRR1573226	ERR2299672	0.02
SRR1573226	ERR2299673	0.01
SRR1573226	ERR2299674	0.01
SRR1573226	ERR2299675	0.03
SRR1573226	ERR2299704	0.02
SRR1573226	ERR2299679	0.08
SRR1573226	ERR2299680	0.06
SRR1573226	ERR2299681	0.01
SRR1573226	ERR2299682	0.02
SRR1573226	ERR2299683	0.02
SRR1573226	ERR2299684	0.08
SRR1573226	ERR2299685	0.03
ERR2299557	ERR2299558	1.00
ERR2299557	ERR2299582	0.13
ERR2299557	ERR2299586	0.06
ERR2299557	ERR2299596	0.03
ERR2299557	ERR2299666	0.00
ERR2299557	ERR2299667	0.01
ERR2299557	ERR2299668	0.01
ERR2299557	ERR2299669	0.01
ERR2299557	ERR2299670	0.01
ERR2299557	ERR2299699	0.01
ERR2299557	ERR2299672	0.01
ERR2299557	ERR2299673	0.01
ERR2299557	ERR2299674	0.01
ERR2299557	ERR2299675	0.01
ERR2299557	ERR2299704	0.01
ERR2299557	ERR2299679	0.05
ERR2299557	ERR2299680	0.03
ERR2299557	ERR2299681	0.01
ERR2299557	ERR2299682	0.01
ERR2299557	ERR2299683	0.01
ERR2299557	ERR2299684	0.05
ERR2299557	ERR2299685	0.05
ERR2299558	ERR2299582	0.14
ERR2299558	ERR2299586	0.06
ERR2299558	ERR2299596	0.03
ERR2299558	ERR2299666	0.00
ERR2299558	ERR2299667	0.01
ERR2299558	ERR2299668	0.01
ERR2299558	ERR2299669	0.01
ERR2299558	ERR2299670	0.02
ERR2299558	ERR2299699	0.01
ERR2299558	ERR2299672	0.01
ERR2299558	ERR2299673	0.01
ERR2299558	ERR2299674	0.01
ERR2299558	ERR2299675	0.02
ERR2299558	ERR2299704	0.01
ERR2299558	ERR2299679	0.05
ERR2299558	ERR2299680	0.03
ERR2299558	ERR2299681	0.01
ERR2299558	ERR2299682	0.01
ERR2299558	ERR2299683	0.01
ERR2299558	ERR2299684	0.05
ERR2299558	ERR2299685	0.05
ERR2299582	ERR2299586	0.08
ERR2299582	ERR2299596	0.04
ERR2299582	ERR2299666	0.00
ERR2299582	ERR2299667	0.00
ERR2299582	ERR2299668	0.00
ERR2299582	ERR2299669	0.00
ERR2299582	ERR2299670	0.02
ERR2299582	ERR2299699	0.00
ERR2299582	ERR2299672	0.00
ERR2299582	ERR2299673	0.00
ERR2299582	ERR2299674	0.00
ERR2299582	ERR2299675	0.02
ERR2299582	ERR2299704	0.00
ERR2299582	ERR2299679	0.06
ERR2299582	ERR2299680	0.05
ERR2299582	ERR2299681	0.00
ERR2299582	ERR2299682	0.00
ERR2299582	ERR2299683	0.00
ERR2299582	ERR2299684	0.06
ERR2299582	ERR2299685	0.11
ERR2299586	ERR2299596	0.05
ERR2299586	ERR2299666	0.00
ERR2299586	ERR2299667	0.01
ERR2299586	ERR2299668	0.01
ERR2299586	ERR2299669	0.01
ERR2299586	ERR2299670	0.03
ERR2299586	ERR2299699	0.01
ERR2299586	ERR2299672	0.01
ERR2299586	ERR2299673	0.01
ERR2299586	ERR2299674	0.01
ERR2299586	ERR2299675	0.03
ERR2299586	ERR2299704	0.01
ERR2299586	ERR2299679	0.03
ERR2299586	ERR2299680	0.03
ERR2299586	ERR2299681	0.01
ERR2299586	ERR2299682	0.01
ERR2299586	ERR2299683	0.01
ERR2299586	ERR2299684	0.03
ERR2299586	ERR2299685	0.35
ERR2299596	ERR2299666	0.07
ERR2299596	ERR2299667	0.08
ERR2299596	ERR2299668	0.09
ERR2299596	ERR2299669	0.09
ERR2299596	ERR2299670	0.06
ERR2299596	ERR2299699	0.08
ERR2299596	ERR2299672	0.09
ERR2299596	ERR2299673	0.08
ERR2299596	ERR2299674	0.08
ERR2299596	ERR2299675	0.06
ERR2299596	ERR2299704	0.09
ERR2299596	ERR2299679	0.05
ERR2299596	ERR2299680	0.05
ERR2299596	ERR2299681	0.08
ERR2299596	ERR2299682	0.09
ERR2299596	ERR2299683	0.09
ERR2299596	ERR2299684	0.05
ERR2299596	ERR2299685	0.03
ERR2299666	ERR2299667	0.99
ERR2299666	ERR2299668	0.91
ERR2299666	ERR2299669	0.73
ERR2299666	ERR2299670	0.02
ERR2299666	ERR2299699	0.96
ERR2299666	ERR2299672	0.91
ERR2299666	ERR2299673	1.00
ERR2299666	ERR2299674	1.00
ERR2299666	ERR2299675	0.02
ERR2299666	ERR2299704	0.91
ERR2299666	ERR2299679	0.01
ERR2299666	ERR2299680	0.00
ERR2299666	ERR2299681	1.00
ERR2299666	ERR2299682	0.91
ERR2299666	ERR2299683	0.91
ERR2299666	ERR2299684	0.01
ERR2299666	ERR2299685	0.00
ERR2299667	ERR2299668	0.91
ERR2299667	ERR2299669	0.75
ERR2299667	ERR2299670	0.03
ERR2299667	ERR2299699	0.96
ERR2299667	ERR2299672	0.91
ERR2299667	ERR2299673	1.00
ERR2299667	ERR2299674	1.00
ERR2299667	ERR2299675	0.03
ERR2299667	ERR2299704	0.91
ERR2299667	ERR2299679	0.03
ERR2299667	ERR2299680	0.01
ERR2299667	ERR2299681	1.00
ERR2299667	ERR2299682	0.91
ERR2299667	ERR2299683	0.91
ERR2299667	ERR2299684	0.03
ERR2299667	ERR2299685	0.01
ERR2299668	ERR2299669	0.80
ERR2299668	ERR2299670	0.04
ERR2299668	ERR2299699	0.93
ERR2299668	ERR2299672	1.00
ERR2299668	ERR2299673	0.91
ERR2299668	ERR2299674	0.91
ERR2299668	ERR2299675	0.04
ERR2299668	ERR2299704	1.00
ERR2299668	ERR2299679	0.02
ERR2299668	ERR2299680	0.02
ERR2299668	ERR2299681	0.91
ERR2299668	ERR2299682	1.00
ERR2299668	ERR2299683	1.00
ERR2299668	ERR2299684	0.02
ERR2299668	ERR2299685	0.01
ERR2299669	ERR2299670	0.04
ERR2299669	ERR2299699	0.75
ERR2299669	ERR2299672	0.81
ERR2299669	ERR2299673	0.75
ERR2299669	ERR2299674	0.75
ERR2299669	ERR2299675	0.04
ERR2299669	ERR2299704	0.81
ERR2299669	ERR2299679	0.03
ERR2299669	ERR2299680	0.02
ERR2299669	ERR2299681	0.75
ERR2299669	ERR2299682	0.81
ERR2299669	ERR2299683	0.81
ERR2299669	ERR2299684	0.03
ERR2299669	ERR2299685	0.01
ERR2299670	ERR2299699	0.04
ERR2299670	ERR2299672	0.04
ERR2299670	ERR2299673	0.03
ERR2299670	ERR2299674	0.03
ERR2299670	ERR2299675	1.00
ERR2299670	ERR2299704	0.04
ERR2299670	ERR2299679	0.03
ERR2299670	ERR2299680	0.05
ERR2299670	ERR2299681	0.03
ERR2299670	ERR2299682	0.04
ERR2299670	ERR2299683	0.04
ERR2299670	ERR2299684	0.03
ERR2299670	ERR2299685	0.02
ERR2299699	ERR2299672	0.93
ERR2299699	ERR2299673	0.96
ERR2299699	ERR2299674	0.96
ERR2299699	ERR2299675	0.04
ERR2299699	ERR2299704	0.93
ERR2299699	ERR2299679	0.02
ERR2299699	ERR2299680	0.01
ERR2299699	ERR2299681	0.96
ERR2299699	ERR2299682	0.93
ERR2299699	ERR2299683	0.93
ERR2299699	ERR2299684	0.02
ERR2299699	ERR2299685	0.01
ERR2299672	ERR2299673	0.91
ERR2299672	ERR2299674	0.91
ERR2299672	ERR2299675	0.04
ERR2299672	ERR2299704	1.00
ERR2299672	ERR2299679	0.02
ERR2299672	ERR2299680	0.01
ERR2299672	ERR2299681	0.91
ERR2299672	ERR2299682	1.00
ERR2299672	ERR2299683	1.00
ERR2299672	ERR2299684	0.02
ERR2299672	ERR2299685	0.01
ERR2299673	ERR2299674	1.00
ERR2299673	ERR2299675	0.03
ERR2299673	ERR2299704	0.91
ERR2299673	ERR2299679	0.03
ERR2299673	ERR2299680	0.01
ERR2299673	ERR2299681	1.00
ERR2299673	ERR2299682	0.91
ERR2299673	ERR2299683	0.91
ERR2299673	ERR2299684	0.03
ERR2299673	ERR2299685	0.01
ERR2299674	ERR2299675	0.03
ERR2299674	ERR2299704	0.91
ERR2299674	ERR2299679	0.03
ERR2299674	ERR2299680	0.01
ERR2299674	ERR2299681	1.00
ERR2299674	ERR2299682	0.91
ERR2299674	ERR2299683	0.91
ERR2299674	ERR2299684	0.03
ERR2299674	ERR2299685	0.01
ERR2299675	ERR2299704	0.04
ERR2299675	ERR2299679	0.03
ERR2299675	ERR2299680	0.05
ERR2299675	ERR2299681	0.03
ERR2299675	ERR2299682	0.04
ERR2299675	ERR2299683	0.04
ERR2299675	ERR2299684	0.03
ERR2299675	ERR2299685	0.02
ERR2299704	ERR2299679	0.02
ERR2299704	ERR2299680	0.02
ERR2299704	ERR2299681	0.92
ERR2299704	ERR2299682	1.00
ERR2299704	ERR2299683	1.00
ERR2299704	ERR2299684	0.02
ERR2299704	ERR2299685	0.01
ERR2299679	ERR2299680	0.13
ERR2299679	ERR2299681	0.03
ERR2299679	ERR2299682	0.02
ERR2299679	ERR2299683	0.02
ERR2299679	ERR2299684	1.00
ERR2299679	ERR2299685	0.04
ERR2299680	ERR2299681	0.01
ERR2299680	ERR2299682	0.01
ERR2299680	ERR2299683	0.02
ERR2299680	ERR2299684	0.13
ERR2299680	ERR2299685	0.03
ERR2299681	ERR2299682	0.91
ERR2299681	ERR2299683	0.91
ERR2299681	ERR2299684	0.03
ERR2299681	ERR2299685	0.01
ERR2299682	ERR2299683	1.00
ERR2299682	ERR2299684	0.02
ERR2299682	ERR2299685	0.01
ERR2299683	ERR2299684	0.02
ERR2299683	ERR2299685	0.01
ERR2299684	ERR2299685	0.04
